"University Of Texas At Austin","Chemistry","PhD (F19)","Rejected"," E-mail","27 Mar 2019","","","","","","A","26 Mar 2019","Just says denied."
"MIT","Chemistry","PhD (F16)","Other"," Other","17 Feb 2016","","","","","","A","17 Feb 2016","I called the admissions office last week, they said that if you haven't received any notification yet then your application is still under consideration.  They said we could expect a final response ""in the next couple weeks""."
"Upenn","Chemistry","PhD (F16)","Rejected"," E-mail","17 Feb 2016","","","","","","A","17 Feb 2016",""
"University Of Pennsylvania","Chemistry","PhD (F16)","Rejected"," E-mail","17 Feb 2016","  3.60","156","166","4.50","","I","17 Feb 2016",""
"MIT","Chemistry","PhD (F16)","Other"," Other","17 Feb 2016","","","","","","A","17 Feb 2016","that makes two of us. Some kind of waitlist I suspect."
"University Of Pennsylvania","Chemistry","PhD (F16)","Rejected"," E-mail","17 Feb 2016","","","","","","","17 Feb 2016",""
"MIT","Chemistry","PhD (F16)","Other"," Other","17 Feb 2016","","","","","","","17 Feb 2016","Has anyone else not heard back from MIT Chemistry?"
"University Of Montana","Chemistry","PhD (F16)","Accepted"," E-mail","17 Feb 2016","","","","","","A","17 Feb 2016","21K/year with tuition and fees covered"
"University Of Maryland Baltimore County (UMBC)","Chemistry","PhD (F16)","Accepted"," E-mail","17 Feb 2016","","","","","","U","17 Feb 2016","Had a Skype interview weeks ago :)"
"UPenn","Chemistry","PhD (F16)","Rejected"," E-mail","17 Feb 2016","","","","","","U","17 Feb 2016","Sad"
"University Of Pennsylvania","Chemistry","PhD (F16)","Rejected"," E-mail","17 Feb 2016","","","","","","A","17 Feb 2016",""
"UnIversity Of Pensilvenia","Chemistry","PhD (F16)","Rejected"," E-mail","17 Feb 2016","","","","","","I","17 Feb 2016","a genric email to  allapplicant. th eworst wording ive ever seen. wish all the best for other applicants."
"Purdue University - West Lafayette","Chemistry (Analytical Chemistry)","PhD (F16)","Accepted"," E-mail","17 Feb 2016","","","","","","A","17 Feb 2016","Accepted off waitlist. 23.6-24K stipend"
"Penn State (Pennsylvania State University)","Chemistry","PhD (F16)","Accepted"," E-mail","14 Feb 2016"," ","168","154","4.00","","I","17 Feb 2016","2 weeks after an interview"
"ีUniversity Of Southern California (USC)","Chemistry","PhD (F16)","Interview"," E-mail","17 Feb 2016","  3.20","168","154","4.00","","I","17 Feb 2016",""
"University Of Massachusetts - Boston","Chemistry","PhD (F16)","Accepted"," E-mail","11 Feb 2016","  2.87","159","154","4.50","","A","17 Feb 2016","Knew the PI of interest through my current undergraduate PI. Visited in November and was given an unofficial acceptance letter via email before the official letter was sent."
"University Of Hawaii At Manoa","Chemistry","Masters (F16)","Accepted"," E-mail","15 Feb 2016","","","","","","U","17 Feb 2016",""
"Clarkson University","Chemistry","PhD (F16)","Rejected"," E-mail","17 Feb 2016","  3.69","147","156","3.00","","I","17 Feb 2016",""
"Portland State Univeristy","Chemistry","PhD (S16)","Rejected"," Postal Service","17 Feb 2016","","","","","","A","17 Feb 2016",""
"Boston College","Chemistry","PhD (F16)","Rejected"," Postal Service","17 Feb 2016","","","","","","A","17 Feb 2016",""
"The University Of North Carolina - Chapel Hill (UNC)","Chemistry","PhD (F16)","Accepted"," E-mail","16 Feb 2016","","","","","","A","16 Feb 2016",""
"The University Of North Carolina - Chapel Hill (UNC)","Chemistry","PhD (F16)","Accepted"," E-mail","16 Feb 2016","","","","","","","16 Feb 2016",""
"University Of California, Berkeley","Chemistry (Inorganic)","PhD (F16)","Rejected"," Phone","16 Feb 2016","","","","","","A","16 Feb 2016","I called the graduate admissions officer, who told me that essentially all letters of admission have been sent out by now. Not a formal rejection, but if you haven't heard back yet, that's probably not good news!"
" University Of South Florida (USF)","Chemistry","PhD (F16)","Other"," E-mail","16 Feb 2016","  3.30","154","151","4.00","700","I","16 Feb 2016","Anyone else applied here?"
"UNC Chapel Hill","Chemistry","PhD (F16)","Rejected"," Website","16 Feb 2016","","","","","","A","16 Feb 2016",""
"The University Of North Carolina - Chapel Hill (UNC)","Chemistry","PhD (F16)","Rejected"," Website","16 Feb 2016","","","","","","I","16 Feb 2016",""
"Georgia Institute Of Technology","Chemistry & Biochemistry","PhD (F16)","Accepted"," E-mail","15 Feb 2016","  3.72","152","168","0.00","820","I","16 Feb 2016",""
"Indiana University - Bloomington","Chemistry","PhD (F16)","Accepted"," E-mail","16 Feb 2016","","","","","","I","16 Feb 2016",""
"Binghamton University (SUNY Binghamton)","Chemistry","PhD (F16)","Accepted"," E-mail","15 Feb 2016","  3.50","161","156","0.00","","A","16 Feb 2016",""
"Penn State (PSU)","Chemistry","PhD (F16)","Accepted"," E-mail","18 Jan 2016","  3.50","161","156","0.00","","A","16 Feb 2016",""
"Stony Brook University (SBU)","Chemistry","PhD (F16)","Accepted"," E-mail","19 Jan 2016","  3.50","161","156","0.00","","A","16 Feb 2016",""
"Florida State Univeristy (FSU)","Chemistry","PhD (F16)","Accepted"," E-mail","6 Jan 2016","  3.50","161","156","0.00","","A","16 Feb 2016","Application was submitted a month early."
"Tulane University","Chemistry","PhD (F16)","Interview"," E-mail","16 Feb 2016","  3.80","148","170","3.00","720","I","16 Feb 2016","Interview on 17 Feb, 2016. Email seems positive."
"Duke","Chemistry, General","PhD (F16)","Accepted"," E-mail","13 Feb 2016","","","","","","A","16 Feb 2016",""
"University Of Illinois Chicago","Physical Chemistry","PhD (F16)","Accepted"," E-mail","15 Feb 2016","  3.30","150","152","4.00","600","A","15 Feb 2016","$26,000 stipend TA assistantship and tuition waived! 

2 years of undergraduate research 
Double major Chemistry/Mathematics
"
"University Of Chicago","Chemistry","PhD (F16)","Rejected"," Website","4 Feb 2016","","","","","","A","15 Feb 2016","MS GPA 3.97, 4 pubs, 2 pending pubs, 4 book chapters, editor of textbook, summer internship at GSK, undergrad research since sophomore year. confused to say the least"
"Georgetown  University","Chemistry (Inorganic/ Materials)","PhD (F16)","Accepted"," E-mail","5 Feb 2016","  3.56","166","158","4.50","","A","15 Feb 2016","Email from professor. $31,000 annual stipend."
"JHU (Johns Hopkins)","Chemistry (Inorganic/ Materials)","PhD (F16)","Accepted"," E-mail","20 Jan 2016","  3.56","166","158","4.50","640","A","15 Feb 2016","Email notification. Full financial support from fellowship and TA position. Don't know how much the stipend is."
"UTexas Austin","Chemistry","PhD (F16)","Accepted"," E-mail","18 Dec 2016","","","","","","A","15 Feb 2016",""
"University Of Massachusetts (UMASS Amherst)","Chemistry","PhD (F16)","Accepted"," E-mail","10 Feb 2016","","","","","","A","15 Feb 2016",""
"Rutgers (State University Of New Jersey) New Brunswick","Chemistry","PhD (F16)","Accepted"," E-mail","29 Jan 2016","","","","","","A","15 Feb 2016",""
"Boston College","Chemistry","PhD (F16)","Rejected"," Postal Service","13 Feb 2016","","","","","","A","15 Feb 2016",""
"Virginia Common Wealth (VCU)","Chemistry","PhD (F16)","Accepted"," E-mail","15 Feb 2016","","","","","","I","15 Feb 2016",""
"University Of Wisconsin–Milwaukee","Chemistry","PhD (F16)","Accepted"," E-mail","4 Feb 2016","  3.69","141","161","3.00","","I","15 Feb 2016","6K Fellowship, 19.5K for TA per year! Total 25.5K+"
"University Of Chicago","Chemistry","PhD (F16)","Rejected"," Website","4 Feb 2016","","","","","","I","15 Feb 2016","I just confirmed a rejection mail via website by accident. They didn't email me at all. Too unprofessional I think."
"University Of Florida","Chemistry","PhD (F16)","Accepted"," E-mail","15 Jan 2016","  3.80","162","160","0.00","","A","15 Feb 2016",""
"Boston College","Chemistry","PhD (F16)","Rejected"," Postal Service","13 Feb 2016","","","","","","A","15 Feb 2016",""
"Wake Forest University","Analytical Chemistry","PhD (F16)","Accepted"," E-mail","9 Feb 2016","","","","","","A","14 Feb 2016",""
"Georgia Institute Of Technology","Chemistry And Biochemistry","PhD (F16)","Accepted"," E-mail","14 Feb 2016","  3.67","158","161","4.00","","A","14 Feb 2016",""
"University Of Central Florida","Chemistry","PhD (F16)","Accepted"," Website","12 Feb 2016","","","","","","A","14 Feb 2016","Haven't received official email, but application admissions decision says admitted."
"The University Of Michigan - Ann Arbor","Chemistry","PhD (F16)","Rejected"," E-mail","12 Feb 2016","","","","","","I","14 Feb 2016","Acceptable. Whatever... :D"
"Iowa Sate University","Chemistry","PhD (F16)","Rejected"," E-mail","21 Jan 2016","  3.20","144","155","3.50","","I","14 Feb 2016",""
"University Of Dallas At Texas","Chemistry","PhD (F16)","Rejected"," E-mail","26 Jan 2016","  3.20","144","155","3.50","","I","14 Feb 2016",""
"University Of Nebraska - Lincoln","Center For Biological Chemistry - MMoD","PhD (F16)","Interview"," E-mail","13 Feb 2016","  3.25","158","155","4.50","","A","13 Feb 2016","Invitation to attend the expenses paid campus visit event February 18-19th."
"University Of Rochesterr","Chemistry","PhD (F16)","Rejected"," E-mail","12 Feb 2016","  3.60","155","162","3.50","","U","13 Feb 2016","In the junk mail box"
"Emory University","Chemistry","PhD (F16)","Accepted"," Phone","13 Feb 2016","  3.76","150","151","3.50","","A","13 Feb 2016","I applied mid December. 1 REU. 2 years of research, great LOR's. 1 semester lab TA. POI called to inform me of my acceptance. 26K/year!"
"(University Of California, Los Angeles","Chemistry","PhD (F16)","Accepted"," E-mail","11 Feb 2016","  3.90","158","164","4.50","750","A","13 Feb 2016","1.5 years research, 1 year teaching"
"Rensselaer Polytechnic Institue","Chemistry And Chemical Biology","PhD (F16)","Accepted"," E-mail","27 Jan 2016","","","","","","A","12 Feb 2016","Originally applied for the Biochemistry program and my application was forwarded to the Chemistry and Chemical Biology department for acceptance due to the small number of spaces available in the Biochemistry department. No interview required."
"University Of Houston (Main Campus)","Chemistry","PhD (F16)","Accepted"," E-mail","12 Feb 2016","  3.80","148","170","3.00","720","I","12 Feb 2016","23.4K Scholarship as TA."
"The University Of Michigan Ann Arbor","Chemistry","PhD (F16)","Rejected"," E-mail","12 Feb 2016","  3.53","167","159","5.00","","A","12 Feb 2016",""
"University Of Vermont (UVM)","Chemistry","PhD (F16)","Rejected"," E-mail","12 Feb 2016","  3.05","159","159","4.00","","A","12 Feb 2016","Accepted at better programs. Surprised."
"University Of Minnesota Twin Cities","Chemistry (Physical Chemistry)","PhD (F16)","Rejected"," Website","12 Feb 2016","  3.20","154","159","3.00","","I","12 Feb 2016",""
"University Of Minnesota Twin Cities","Chemistry","PhD (F16)","Rejected"," Website","12 Feb 2016","","","","","","U","12 Feb 2016",""
"Colorado School Of Mines (CSM)","Applied Chemistry","PhD (F15)","Accepted"," E-mail","6 Feb 2016","  3.40","155","158","4.00","","A","12 Feb 2016","Unofficial email of acceptance on 2/6 and received official letter on 2/10. Had an internship through C2B2 REU at this school a few years ago. Can't wait to go back!"
"The University Of Cincinnati","Chemistry","PhD (F16)","Accepted"," E-mail","12 Feb 2016","","","","","","A","12 Feb 2016","Got an email from the Chair of Graduate Admissions Committee. Email didn't include any funding information, but did include an invitation to the Recruitment Weekend."
"Boston College","Chemistry","PhD (F16)","Accepted"," E-mail","1 Feb 2016","  3.45","81","88","4.50","710","A","12 Feb 2016","3 strong LOR. 1 year + 1 summer research. 2 fellowships.  1 paper in progress. 5 TA positions."
"University Of Chicago","Chemistry","PhD (F16)","Accepted"," Phone","27 Dec 2016","  3.45","81","88","4.50","710","A","12 Feb 2016","3 strong LOR. 1 year + 1 summer research. 2 fellowships.  1 paper in progress. 5 TA positions."
"Penn State (PSU) University Park","Chemistry","PhD (F16)","Rejected"," E-mail","11 Feb 2016","","","","","","I","11 Feb 2016",""
"British Columbia (UBC)","Chemistry","PhD (F16)","Rejected"," E-mail","11 Feb 2016","","","","","","I","11 Feb 2016","Maybe not enough to compete"
"The University Of Florida","Chemistry (Theoretical Chemistry)","PhD (F16)","Accepted"," E-mail","9 Feb 2016","  3.60","159","142","3.00","","U","11 Feb 2016","Undergrad from outside of US with two years research experience.
MS in US, TA for 2.5 years, 1 published paper, 4 journal reviews, 3 poster presentations, good recommendation letters from my advisors
Invited for the visiting weekend in March!"
"The University Of Florida","Agricultural And Environmental Chemistry","PhD (F16)","Accepted"," E-mail","10 Feb 2016","  3.50","159","142","3.00","","U","11 Feb 2016","Undergrad (from outside of US) with two years research experience
MS in US, 3 poster presented, 1 published paper, 2.5 year TA"
"University Of Kentucky","Chemistry","PhD (F16)","Accepted"," E-mail","10 Feb 2016","","","","","","A","11 Feb 2016","Got a ""Thank you for applying email"" first, then got my acceptance email a few hours later. Very nice email from the director of graduate studies in Chemistry."
"University Of Minnesota Twin Citiesy Of Minnesota Twin Cities","Chemistry","PhD (F16)","Rejected"," E-mail","11 Feb 2016","","","","","","I","11 Feb 2016","well, well, well... a little pitty..."
"Yale","Chemistry","PhD (F16)","Accepted"," E-mail","9 Feb 2016","","","","","","A","11 Feb 2016",""
"University Of Utah (U Of U)","Biological Chemistry","PhD (F16)","Accepted"," Phone","10 Feb 2016","  2.78","162","160","5.00","","A","11 Feb 2016","For those with low UGPA, get a master's, a job, and do research and there is hope!"
"University Of Minnesota Twin Cities (UMN)","Chemistry","PhD (F16)","Rejected"," Website","10 Feb 2016","","","","","","I","11 Feb 2016",""
"University Of Dealware","Chemistry Organic","PhD (F16)","Accepted"," Phone","27 Jan 2016","  3.45","153","152","2.50","630","A","11 Feb 2016","Got a call from the POI."
"The University Of Toronto","Chemistry","PhD (F16)","Accepted"," E-mail","11 Feb 2016","","","","","","","11 Feb 2016","Canadian, 3.5 years research experience with a prof in the department, no publications (two are under review), two poster prizes.

Grad student weekend is March 3-6 :)"
"University Of Minnesota Twin Cities","Chemistry","PhD (F16)","Rejected"," Website","10 Feb 2016","","","","","","A","11 Feb 2016",""
"Massachusetts Institute Of Technology (MIT)","Chemistry","PhD (F16)","Rejected"," E-mail","11 Feb 2016","","","","","","I","11 Feb 2016","Well... great day!!hhh T.T"
"Vanderbilt","Analytical Chemistry","PhD (F16)","Accepted"," Website","10 Feb 2016","","","","","","A","11 Feb 2016",""
